Grupo Vehiculo;Placa;digito;Codigo SII;A�o Veh�culo;Tasacion;Tipo de Pago;Valor_Neto;Valor_IPC;Valor_Multa;Valor Pagado;Forma Pago;Fecha_Pago;A�o Permiso;Tipo Vehiculo;Marca;Modelo;Color;Transmisi�n;Tipo Combustible;Cilindrada;Equipamiento;Numero Puertas;
Vehiculo Liviano;BKTV-69;1;CT160008808;2008;4560660;Presencial;75149;3880;10643;89672;Total;09/02/2022;2021;CAMIONETA;MAZDA;BT50 DC 4X4;ROJO BURDEO;Mec;Dies;2500;Full;4;
Vehiculo Liviano;YE-4910;K;HB050005505;2005;1146777;Presencial;31595;1631;4475;37701;Total;11/02/2022;2021;AUTOMOVIL;CHEVROLET;SPARK LS HB 5P 0.8 MT;POLY PLATEADO;Mec;Benc;800;Equi;4;
Vehiculo Liviano;YE-4910;K;HB050005505;2005;1260000;Presencial;36646;2409;9400;48455;Total;11/02/2022;2020;AUTOMOVIL;CHEVROLET;SPARK LS HB 5P 0.8 MT;POLY PLATEADO;Mec;Benc;800;Equi;4;
Vehiculo Liviano;KXDX-72;K;NULL;2019;8484782;Presencial;201779;10418;28578;240775;Total;11/02/2022;2021;STATION WAGON;RENAULT;DUSTER ZEN 5 MT 4X2;CAFE BRONCE;MEC;BENC;1600;FULL;0;
Vehiculo Liviano;BP-2781;1;SD162006389;1989;1620049;Presencial;27221;0;0;27221;Total;14/02/2022;2022;AUTOMOVIL;MERCEDES BENZ;300 SE;PLATEADO;Aut;Benc;3000;Full;4;
Vehiculo Liviano;JCPS-36;5;SD050030217;2017;4285634;Presencial;53047;0;0;53047;Total;14/02/2022;2022;AUTOMOVIL;CHEVROLET;SAIL;NARANJO METALICO;Mec;Benc;1400;Equi;4;
Vehiculo Liviano;DLWW-45;3;CT050023612;2012;4499134;Presencial;57317;0;0;57317;Total;14/02/2022;2022;CAMIONETA;CHEVROLET;COLORADO CC 2.9 2WD AT;BLANCO;Aut;Benc;2900;Full;4;
Vehiculo Liviano;GCPF-87;9;CT176026214;2014;7506312;Presencial;165393;8539;23425;197357;Total;14/02/2022;2021;CAMIONETA;NISSAN;NAVARA SE 4X4 ABS;ROJO INTENSO;Mec;Dies;2500;Full;4;
Vehiculo Liviano;GCPF-87;9;CT176026214;2014;8770000;Presencial;144835;10622;44949;200406;2da. Cuota;14/02/2022;2019;CAMIONETA;NISSAN;NAVARA SE 4X4 ABS;ROJO INTENSO;Mec;Dies;2500;Full;4;
Vehiculo Liviano;GCPF-87;9;CT176026214;2014;8000000;Presencial;222189;14607;56993;293789;Total;14/02/2022;2020;CAMIONETA;NISSAN;NAVARA SE 4X4 ABS;ROJO INTENSO;Mec;Dies;2500;Full;4;
Vehiculo Liviano;HTYX-42;4;CT235014216;2016;14938263;Presencial;363430;0;0;363430;Total;14/02/2022;2022;CAMIONETA;TOYOTA;HILUX AG-D410 SR;GRIS OSCURO METALICO;Mec;Dies;2800;Full;4;
Vehiculo Liviano;ZW-2446;4;CT166003407;2007;3199565;Presencial;19382;863;1600;21845;2da. Cuota;15/02/2022;2021;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA 4X2;GRIS GRAFITO;Mec;Dies;2500;Full;4;
Vehiculo Liviano;SHG-037;5;NULL;2022;0;Presencial;27713;217;410;28340;Total;15/02/2022;2022;MOTO;YAMAHA;XTZ 150;AZUL;NULL;NULL;NULL;NULL;0;
