Grupo Vehiculo;Placa;digito;Codigo SII;A�o Veh�culo;Tasacion;Tipo de Pago;Valor_Neto;Valor_IPC;Valor_Multa;Valor Pagado;Forma Pago;Fecha_Pago;A�o Permiso;Tipo Vehiculo;Marca;Modelo;Color;Transmisi�n;Tipo Combustible;Cilindrada;Equipamiento;Numero Puertas;
Vehiculo Liviano;YE-4161;3;SD077004505;2005;1574543;Presencial;27221;0;0;27221;Total;24/03/2022;2022;AUTOMOVIL;FIAT;SIENA;ROJO;Mec;Benc;1800;Equi;4;
Vehiculo Liviano;VE-1814;6;SU229006202;2002;2329959;Presencial;27221;0;0;27221;Total;24/03/2022;2022;STATION WAGON;SUZUKI;GRAND NOMADE 2.0;NEGRO;Mec;Benc;2000;Equi;4;
Vehiculo Liviano;ZB-4220;2;CT176019905;2005;2521089;Presencial;27221;0;0;27221;Total;24/03/2022;2022;CAMIONETA;NISSAN;TERRANO;ROJO METALICO;Mec;Dies;2500;Norm;4;
Vehiculo Liviano;ZX-3032;K;SD235016106;2006;1774774;Presencial;27221;0;0;27221;Total;24/03/2022;2022;AUTOMOVIL;TOYOTA;YARIS;PLATEADO MICA;Mec;Benc;1500;Norm;4;
Vehiculo Liviano;PJ-1968;4;CT079001796;1996;928343;Presencial;27221;0;0;27221;Total;24/03/2022;2022;CAMIONETA;FORD;RANGER;ROJO ELECTRICO;Mec;Benc;2500;Full;2;
Vehiculo Liviano;LFK-024;2;MT070001319;2020;405343;Presencial;27221;0;0;27221;Total;24/03/2022;2022;Moto;EUROMOT;F 51 150;ROJO;Mec;Benc;150;NULL;0;
Vehiculo Liviano;CZBT-19;0;HB229011111;2011;2016078;Presencial;27221;0;0;27221;Total;24/03/2022;2022;AUTOMOVIL;SUZUKI;ALTO K10 1.0 DLX;BLANCO;Mec;Benc;1000;Equi;4;
Vehiculo Liviano;SFS-022;7;NULL;2022;1320500;Presencial;27221;0;0;27221;Total;24/03/2022;2022;Moto;MOTORRAD;TTX150;ROJO;NULL;NULL;NULL;NULL;0;
Vehiculo Liviano;DLJT-57;K;SD207006412;2012;2748728;Presencial;27487;0;0;27487;Total;24/03/2022;2022;AUTOMOVIL;SAMSUNG;SM3 PE MT (DECO);NEGRO ROJO;Mec;Benc;1600;Equi;4;
Vehiculo Liviano;FHVB-42;1;HB132005613;2013;4422596;Presencial;27894;0;0;27894;1ra. Cuota;24/03/2022;2022;STATION WAGON;KIA MOTORS;SOUL;PLATEADO BRILLANTE;Mec;Benc;1600;Full;4;
Vehiculo Liviano;ZX-1804;4;CT176019706;2006;2803232;Presencial;28032;0;0;28032;Total;24/03/2022;2022;CAMIONETA;NISSAN;TERRANO DX 4X4 D/C;BLANCO;Mec;Dies;3200;Norm;4;
Vehiculo Liviano;JPDY-69;0;SU117002417;2017;4504610;Presencial;28714;0;0;28714;1ra. Cuota;24/03/2022;2022;STATION WAGON;JAC;S2 1.5 4X2 CE;NEGRO;Mec;Benc;1500;Full;4;
Vehiculo Liviano;KTWK-11;7;NULL;2019;4663866;Presencial;30306;0;0;30306;1ra. Cuota;24/03/2022;2022;AUTOMOVIL;HYUNDAI;GRAND 110 GL 1.0;ROJO PASION;MEC;BENC;1000;NORM;0;
Vehiculo Liviano;CBLY-77;0;CT231000110;2010;3043100;Presencial;30431;0;0;30431;Total;24/03/2022;2022;CAMIONETA;TATA;XENON 2.2 LHD 4X2;BLANCO ARTICO;Mec;Dies;2200;Full;4;
Vehiculo Liviano;LFK-022;6;NULL;2021;3150000;Presencial;31500;0;0;31500;Total;24/03/2022;2022;Moto;ZONTES;ZT310 R;AZUL;NULL;NULL;NULL;NULL;0;
Vehiculo Liviano;JGRR-28;2;SD111027417;2017;4805894;Presencial;31727;0;0;31727;1ra. Cuota;24/03/2022;2022;AUTOMOVIL;HYUNDAI;I10;PLATEADO;Mec;Benc;1200;Equi;4;
Vehiculo Liviano;DPZJ-78;1;SD132013812;2012;4879660;Presencial;32464;0;0;32464;1ra. Cuota;24/03/2022;2022;AUTOMOVIL;KIA MOTORS;CERATO;PLATEADO PLATA BRILLANTE;Aut;Benc;1600;Full;4;
Vehiculo Liviano;CTTD-21;K;CT176023711;2011;5170810;Presencial;35376;0;0;35376;1ra. Cuota;24/03/2022;2022;CAMIONETA;NISSAN;TERRANO PICK UP DXS;ROJO METALICO;Mec;Dies;2500;Equi;4;
Vehiculo Liviano;DLHF-65;5;CT176027512;2012;5283410;Presencial;36502;0;0;36502;1ra. Cuota;24/03/2022;2022;CAMIONETA;NISSAN;TERRANO;ROJO;Mec;Dies;2500;Full;4;
Vehiculo Liviano;KW-1272;9;SU132009007;2007;3481610;Presencial;36967;0;0;36967;Total;24/03/2022;2022;STATION WAGON;KIA MOTORS;SPORTAGE PRO II LX 4X2 DAB;NEGRO METALICO;Mec;Benc;2000;Full;4;
Vehiculo Liviano;CPLW-84;6;CT235011610;2010;5480210;Presencial;38470;0;0;38470;1ra. Cuota;24/03/2022;2022;CAMIONETA;TOYOTA;HILUX;BLANCO;Mec;Dies;2500;Equi;4;
Vehiculo Liviano;BYDV-82;3;CT111004109;2009;3558438;Presencial;38504;0;0;38504;Total;24/03/2022;2022;CAMIONETA;HYUNDAI;PORTER;BLANCO;Mec;Dies;2500;Equi;2;
Vehiculo Liviano;JCKB-13;7;HB111015016;2016;5504483;Presencial;38712;0;0;38712;1ra. Cuota;24/03/2022;2022;AUTOMOVIL;HYUNDAI;ACCENT;GRIS GRAFITO;Mec;Benc;1400;Full;4;
Vehiculo Liviano;FSDV-75;9;CT243003713;2013;3585110;Presencial;39037;0;0;39037;Total;24/03/2022;2022;CAMIONETA;VOLKSWAGEN;SAVEIRO;BLANCO CANDY;Mec;Benc;1600;Equi;2;
Vehiculo Liviano;TH-8095;8;CT235003799;1999;1285456;Presencial;32393;1963;4941;39297;Total;24/03/2022;2021;CAMIONETA;TOYOTA;HILUX C/S STD;VERDE;Mec;Benc;2400;Norm;2;
Vehiculo Liviano;CHDG-66;6;CT176023310;2010;3676149;Presencial;40858;0;0;40858;Total;24/03/2022;2022;CAMIONETA;NISSAN;TERRANO PICK UP DX;ROJO METALICO;Mec;Dies;2500;Equi;2;
Vehiculo Liviano;DRRH-89;1;SD050022613;2013;3690137;Presencial;41138;0;0;41138;Total;24/03/2022;2022;AUTOMOVIL;CHEVROLET;AVEO SEDAN LT NB 1.4 MT AC ABS;PLATEADO METALICO;Mec;Benc;1400;Full;4;
Vehiculo Liviano;XU-4517;1;HB050003904;2004;1300000;Presencial;33941;1888;7216;43045;Total;24/03/2022;2020;AUTOMOVIL;CHEVROLET;CORSA HB ML 1.6L SWING CD;BEIGE NEVADA;Mec;Benc;1600;Norm;4;
Vehiculo Liviano;YC-2773;5;SD176022105;2005;1757213;Presencial;33941;1888;7216;43045;Total;24/03/2022;2021;AUTOMOVIL;NISSAN;V16 STANDAR;NEGRO GRIS;Mec;Benc;1600;Full;4;
Vehiculo Liviano;DVDC-79;8;CT166004712;2012;5958710;Presencial;43255;0;0;43255;1ra. Cuota;24/03/2022;2022;CAMIONETA;MITSUBISHI;L200 D/C TD KATANA CRT 4X4;ROJO;Mec;Dies;2500;Full;4;
Vehiculo Liviano;DJPL-65;5;CT166004712;2012;5958710;Presencial;43255;0;0;43255;1ra. Cuota;24/03/2022;2022;CAMIONETA;MITSUBISHI;L200;ROJO;Mec;Dies;2500;Full;4;
Vehiculo Liviano;VU-9526;7;CT079012103;2003;2510000;Presencial;34300;1908;7292;43500;Total;24/03/2022;2020;CAMIONETA;FORD;RANGER XLC/C 4X4 DSL 2.8L;BLANCO;Mec;Dies;2800;Equi;4;
Vehiculo Liviano;FDFC-18;6;CT065002814;2014;2427387;Presencial;35352;1966;7516;44834;Total;24/03/2022;2021;CAMIONETA;DONGFENG;TRUCK DC XXL 1.0;BLANCO;Mec;Benc;1000;Norm;4;
Vehiculo Liviano;LHDB-32;1;HB132009319;2019;6137010;Presencial;45038;0;0;45038;1ra. Cuota;24/03/2022;2022;AUTOMOVIL;KIA MOTORS;MORNING;BLANCO INVIERNO;Mec;Benc;1200;Full;4;
Vehiculo Liviano;LSTV-80;9;NULL;2020;6199810;Presencial;45666;0;0;45666;1ra. Cuota;24/03/2022;2022;CAMIONETA;CHANGAN;MS201 D CAB 1.2;BLANCO;MEC;BENC;1200;FULL;0;
Vehiculo Liviano;LFCW-89;2;HB197017919;2019;6231460;Presencial;45982;0;0;45982;1ra. Cuota;24/03/2022;2022;AUTOMOVIL;RENAULT;CLIO;ROJO INTENSO;Mec;Benc;1200;NULL;4;
Vehiculo Liviano;FVRG-26;4;SD229003713;2013;3951010;Presencial;46355;0;0;46355;Total;24/03/2022;2022;AUTOMOVIL;SUZUKI;SX4;PLATEADO;Mec;Benc;1600;Equi;4;
Vehiculo Liviano;BGWX-97;7;CT176020008;2008;3960160;Presencial;46538;0;0;46538;Total;24/03/2022;2022;CAMIONETA;NISSAN;TERRANO DX TDI 4X4;ROJO METALICO;Mec;Dies;2500;Equi;4;
Vehiculo Liviano;KVPT-32;6;SD111027719;2019;6381360;Presencial;47481;0;0;47481;1ra. Cuota;24/03/2022;2022;AUTOMOVIL;HYUNDAI;I-10;GRIS OSCURO;Mec;Benc;1200;NULL;4;
Vehiculo Liviano;GPPP-14;9;SD106009614;2014;6465810;Presencial;48326;0;0;48326;1ra. Cuota;24/03/2022;2022;AUTOMOVIL;HONDA;CIVIC;GRIS GRAFITO;Aut;Benc;1800;Full;4;
Vehiculo Liviano;HTHK-90;K;SD050030316;2016;4065934;Presencial;48653;0;0;48653;Total;24/03/2022;2022;AUTOMOVIL;CHEVROLET;SAIL;PLATEADO PLATA;Mec;Benc;1400;Equi;4;
Vehiculo Liviano;HDHD-57;1;SU079006915;2015;6507267;Presencial;48740;0;0;48740;1ra. Cuota;24/03/2022;2022;STATION WAGON;FORD;ECOSPORT SE 1.5L DIESEL;ROJO MERLOT;Mec;Dies;1500;Full;4;
Vehiculo Liviano;CTTD-21;K;CT176023711;2011;5216887;Presencial;43876;2353;4169;50398;2da. Cuota;24/03/2022;2021;CAMIONETA;NISSAN;TERRANO PICK UP DXS;ROJO METALICO;Mec;Dies;2500;Equi;4;
Vehiculo Liviano;GSYG-42;3;CO077002714;2014;4222860;Presencial;51792;0;0;51792;Total;24/03/2022;2022;FURGON;FIAT;FIORINO CITY DSEL AV P. LATERA;BLANCO;Mec;Dies;1300;Equi;4;
Vehiculo Liviano;BKFG-71;3;CT235011508;2008;4232260;Presencial;51980;0;0;51980;Total;24/03/2022;2022;CAMIONETA;TOYOTA;HILUX;GRIS OSCURO;Mec;Dies;2500;Equi;4;
Vehiculo Liviano;HKGG-69;5;SD050022516;2016;4425908;Presencial;55853;0;0;55853;Total;24/03/2022;2022;AUTOMOVIL;CHEVROLET;AVEO;PLATEADO PLATA METALICO;Mec;Benc;1400;Equi;4;
Vehiculo Liviano;CYDD-87;5;VN050003911;2011;7016441;Presencial;56249;0;0;56249;1ra. Cuota;24/03/2022;2022;STATION WAGON;CHEVROLET;CAPTIVA;BLANCO;Aut;Dies;2000;Full;4;
Vehiculo Liviano;KYYT-21;8;SD050031419;2019;7089258;Presencial;57341;0;0;57341;1ra. Cuota;24/03/2022;2022;AUTOMOVIL;CHEVROLET;PRISMA;BLANCO;Mec;Benc;1400;Full;4;
Vehiculo Liviano;GLGS-15;4;HB197015814;2014;4551260;Presencial;58360;0;0;58360;Total;24/03/2022;2022;AUTOMOVIL;RENAULT;SANDERO STEPWAY MT;ROJO FUEGO;Mec;Benc;1600;Full;4;
Vehiculo Liviano;KHPR-71;9;HB229014318;2018;4560660;Presencial;58548;0;0;58548;Total;24/03/2022;2022;AUTOMOVIL;SUZUKI;CELERIO;NARANJO TANGO;Mec;Benc;1000;Equi;4;
Vehiculo Liviano;JGSD-34;9;SU079006217;2017;7243973;Presencial;59662;0;0;59662;1ra. Cuota;24/03/2022;2022;STATION WAGON;FORD;ECOSPORT;ROJO SOLIDO;Mec;Benc;1600;Full;4;
Vehiculo Liviano;FRRT-27;2;SU229023813;2013;4617210;Presencial;59679;0;0;59679;Total;24/03/2022;2022;JEEP;SUZUKI;GRAND VITARA;BLANCO PERLA;Mec;Benc;1600;Full;2;
Vehiculo Liviano;DHYD-25;7;HB184016612;2012;4663860;Presencial;60612;0;0;60612;Total;24/03/2022;2022;AUTOMOVIL;PEUGEOT;308;GRIS SHARK;Mec;Benc;1600;Full;4;
Vehiculo Liviano;DWHT-59;7;NULL;2012;4752075;Presencial;62376;0;0;62376;Total;24/03/2022;2022;FURGON;DFSK;REFRI 1.3;BLANCO;MEC;BENC;1310;NORM;2;
Vehiculo Liviano;FRTH-47;0;CT176026013;2013;7546875;Presencial;64206;0;0;64206;1ra. Cuota;24/03/2022;2022;CAMIONETA;NISSAN;NAVARA;PLATEADO PLATA;Mec;Dies;2500;Full;4;
Vehiculo Liviano;KJGR-54;0;SD111032118;2018;4854902;Presencial;64433;0;0;64433;Total;24/03/2022;2022;AUTOMOVIL;HYUNDAI;I-10;GRIS;Mec;Benc;1200;NULL;4;
Vehiculo Liviano;VU-9526;7;CT079012103;2003;2740000;Presencial;45919;3315;15204;64438;Total;24/03/2022;2019;CAMIONETA;FORD;RANGER XLC/C 4X4 DSL 2.8L;BLANCO;Mec;Dies;2800;Equi;4;
Vehiculo Liviano;HDGK-23;3;CO229001815;2015;4870560;Presencial;64746;0;0;64746;Total;24/03/2022;2022;FURGON;SUZUKI;APV;BLANCO;Mec;Benc;1600;Norm;4;
Vehiculo Liviano;BJGR-14;6;HB052021415;2015;5020410;Presencial;67743;0;0;67743;Total;24/03/2022;2022;AUTOMOVIL;CITROEN;C-ELYSEE;AZUL KYANOS;Mec;Dies;1600;Full;4;
Vehiculo Liviano;CTFV-73;5;CT176024511;2011;5086360;Presencial;69062;0;0;69062;Total;24/03/2022;2022;CAMIONETA;NISSAN;NAVARA;ROJO INTENSO;Mec;Dies;2500;Equi;2;
Vehiculo Liviano;LYYW-53;2;HB229018620;2020;5118660;Presencial;69708;0;0;69708;Total;24/03/2022;2022;AUTOMOVIL;SUZUKI;SPRESSO;PLATEADO PLATA;Mec;Benc;1000;NULL;4;
Vehiculo Liviano;HWCY-72;9;SU227042416;2016;7915219;Presencial;69731;0;0;69731;1ra. Cuota;24/03/2022;2022;STATION WAGON;SUBARU;XV;GRIS OSCURO;Mec;Benc;1600;Full;4;
Vehiculo Liviano;DXTZ-30;4;CT176029312;2012;5283410;Presencial;73003;0;0;73003;Total;24/03/2022;2022;CAMIONETA;NISSAN;TERRANO;ROJO;Mec;Dies;2500;Norm;4;
Vehiculo Liviano;LFLC-13;5;SD050030519;2019;5302160;Presencial;73378;0;0;73378;Total;24/03/2022;2022;AUTOMOVIL;CHEVROLET;SAIL;ROJO BURDEO METALICO;Mec;Benc;1500;Equi;4;
Vehiculo Liviano;GSYG-42;3;CO077002714;2014;3968962;Presencial;62008;3757;9459;75224;Total;24/03/2022;2021;FURGON;FIAT;FIORINO CITY DSEL AV P. LATERA;BLANCO;Mec;Dies;1300;Equi;4;
Vehiculo Liviano;HJCY-79;0;SD176031516;2016;5442660;Presencial;76188;0;0;76188;Total;24/03/2022;2022;AUTOMOVIL;NISSAN;VERSA;GRIS AMATISTA;Mec;Benc;1600;Full;4;
Vehiculo Liviano;JBWZ-98;1;SU184017917;2017;8350593;Presencial;76261;0;0;76261;1ra. Cuota;24/03/2022;2022;STATION WAGON;PEUGEOT;2008;BLANCO NACAR;Mec;Dies;1600;Full;4;
Vehiculo Liviano;PJZW-60;3;SD229005521;2021;8373553;Presencial;76606;0;0;76606;1ra. Cuota;24/03/2022;2022;AUTOMOVIL;SUZUKI;DZIRE;BLANCO PERLA;Mec;Benc;1200;NULL;4;
Vehiculo Liviano;FBWZ-73;5;CT166005413;2013;5639690;Presencial;80129;0;0;80129;Total;24/03/2022;2022;CAMIONETA;MITSUBISHI;L200;BLANCO FAIRY;Mec;Dies;2500;Full;4;
Vehiculo Liviano;DPCZ-23;9;HB132005212;2012;3601344;Presencial;64172;3569;13643;81384;Total;24/03/2022;2021;AUTOMOVIL;KIA MOTORS;RIO 5 EX 1.4L 6MT AC DAB ABS;ROJO;Mec;Benc;1400;Full;4;
Vehiculo Liviano;JBWZ-16;7;SU035000717;2017;5799210;Presencial;83319;0;0;83319;Total;24/03/2022;2022;STATION WAGON;BRILLIANCE;V3;ROJO;Mec;Benc;1500;Full;4;
Vehiculo Liviano;PTDT-87;6;HB111016721;2021;8950369;Presencial;85258;0;0;85258;1ra. Cuota;24/03/2022;2022;AUTOMOVIL;HYUNDAI;ACCENT;BLANCO;Mec;Benc;1400;Full;4;
Vehiculo Liviano;VU-9526;7;CT079012103;2003;2920000;Presencial;57950;4408;23353;85711;Total;24/03/2022;2018;CAMIONETA;FORD;RANGER XLC/C 4X4 DSL 2.8L;BLANCO;Mec;Dies;2800;Equi;4;
Vehiculo Liviano;PGZT-10;5;HB229018521;2021;9158343;Presencial;88378;0;0;88378;1ra. Cuota;24/03/2022;2022;AUTOMOVIL;SUZUKI;BALENO;PLATEADO PLATA PREMIUN;Mec;Benc;1400;NULL;4;
Vehiculo Liviano;HFFS-30;3;CT235013715;2015;9300890;Presencial;90516;0;0;90516;1ra. Cuota;24/03/2022;2022;CAMIONETA;TOYOTA;HILUX;ROJO;Mec;Dies;2500;Full;4;
Vehiculo Liviano;GSYG-42;3;CO077002714;2014;4230000;Presencial;73728;6082;12850;92660;Total;24/03/2022;2020;FURGON;FIAT;FIORINO CITY DSEL AV P. LATERA;BLANCO;Mec;Dies;1300;Equi;4;
Vehiculo Liviano;JVVB-20;7;SD235024818;2018;6289956;Presencial;93134;0;0;93134;Total;24/03/2022;2022;AUTOMOVIL;TOYOTA;YARIS;GRIS OSCURO METALICO;Mec;Benc;1500;NULL;4;
Vehiculo Liviano;DYST-61;1;SU121005313;2013;6362160;Presencial;94578;0;0;94578;Total;24/03/2022;2022;STATION WAGON;JEEP;PATRIOT 4X4 2.4L;GRIS GRAFITO METALICO;Aut;Benc;2400;Full;4;
Vehiculo Liviano;JZWG-44;3;SU111019518;2018;9969921;Presencial;100551;0;0;100551;1ra. Cuota;24/03/2022;2022;STATION WAGON;HYUNDAI;TUCSON TL 2.0 MT GL ACTIVE NAV;NEGRO;Mec;Benc;2000;Full;4;
Vehiculo Liviano;JRXZ-86;8;CT166006917;2017;10001070;Presencial;101018;0;0;101018;1ra. Cuota;24/03/2022;2022;CAMIONETA;MITSUBISHI;L200 WORK CR;BLANCO FAIRY;Mec;Dies;2400;Full;4;
Vehiculo Liviano;PZBJ-49;4;SD050030621;2021;6721654;Presencial;103654;0;0;103654;Total;24/03/2022;2022;AUTOMOVIL;CHEVROLET;SAIL;BLANCO;Mec;Benc;1500;Equi;4;
Vehiculo Liviano;GRYW-95;6;CT166005415;2015;6745826;Presencial;104379;0;0;104379;Total;24/03/2022;2022;CAMIONETA;MITSUBISHI;L200;GRIS PLATA;Mec;Dies;2500;Full;4;
Vehiculo Liviano;LWSD-37;5;HB164000120;2020;6811094;Presencial;106337;0;0;106337;Total;24/03/2022;2022;AUTOMOVIL;MG;MG3;ROJO;Mec;Benc;1500;Full;4;
Vehiculo Liviano;JDJV-21;2;SU079006117;2017;6881134;Presencial;108438;0;0;108438;Total;24/03/2022;2022;STATION WAGON;FORD;ECOSPORT;ROJO MERLOT;Mec;Benc;1600;Full;4;
Vehiculo Liviano;PCKW-46;K;CT091003621;2021;10558861;Presencial;109385;0;0;109385;1ra. Cuota;24/03/2022;2022;CAMIONETA;GREAT WALL;WINGLE5;BLANCO TITANIO;Mec;Dies;2000;Full;4;
Vehiculo Liviano;HSFC-96;5;CT079017416;2016;10584200;Presencial;109765;0;0;109765;1ra. Cuota;24/03/2022;2022;CAMIONETA;FORD;RANGER;ROJO;Mec;Dies;3200;Equi;4;
Vehiculo Liviano;KFVP-45;5;CT159000118;2018;6958452;Presencial;110758;0;0;110758;Total;24/03/2022;2022;CAMIONETA;MAXUS;T60;GRIS;Mec;Dies;2800;Full;4;
Vehiculo Liviano;PBYY-70;0;NULL;2021;10864500;Presencial;113970;0;0;113970;1ra. Cuota;24/03/2022;2022;STATION WAGON;RENAULT;DUSTER;GRIS HIGHLAND;NULL;NULL;NULL;NULL;0;
Vehiculo Liviano;PKXZ-51;7;NULL;2021;10906000;Presencial;114592;0;0;114592;1ra. Cuota;24/03/2022;2022;AUTOMOVIL;NISSAN;VERSA CVT;BLANCO PERLA;AUT;BENC;1600;FULL;0;
Vehiculo Liviano;GCCV-14;0;CT176027314;2014;7116547;Presencial;115501;0;0;115501;Total;24/03/2022;2022;CAMIONETA;NISSAN;NAVARA SE 4X4 6MT;ROJO INTENSO;Mec;Dies;2500;Full;4;
Vehiculo Liviano;JXKT-72;4;VN166007518;2018;11123807;Presencial;117860;0;0;117860;1ra. Cuota;24/03/2022;2022;STATION WAGON;MITSUBISHI;OUTLANDER;CAFE METALICO;Aut;Benc;2400;Full;4;
Vehiculo Liviano;LLKZ-99;4;SU197009419;2019;7517028;Presencial;127515;0;0;127515;Total;24/03/2022;2022;STATION WAGON;RENAULT;DUSTER;GRIS CASSIOPEE;Mec;Benc;1600;NULL;4;
Vehiculo Liviano;KTLZ-39;K;HB229016219;2019;7557638;Presencial;128734;0;0;128734;Total;24/03/2022;2022;AUTOMOVIL;SUZUKI;IGNIS;AZUL METALICO;Mec;Benc;1200;Full;4;
Vehiculo Liviano;KTPC-75;2;SD111028719;2019;7662625;Presencial;131883;0;0;131883;Total;24/03/2022;2022;AUTOMOVIL;HYUNDAI;ACCENT;BLANCO;Mec;Benc;1400;Full;4;
Vehiculo Liviano;KRYH-66;3;CT050030318;2018;12186026;Presencial;133793;0;0;133793;1ra. Cuota;24/03/2022;2022;CAMIONETA;CHEVROLET;D-MAX;BLANCO;Mec;Dies;2500;Full;4;
Vehiculo Liviano;PCKK-78;0;HB243025621;2021;7849704;Presencial;137496;0;0;137496;Total;24/03/2022;2022;AUTOMOVIL;VOLKSWAGEN;GOL;GRIS PLATINO;Mec;Benc;1600;Full;4;
Vehiculo Liviano;KFKV-55;0;CT166006618;2018;12882738;Presencial;144244;0;0;144244;1ra. Cuota;24/03/2022;2022;CAMIONETA;MITSUBISHI;L200;ROJO;Mec;Dies;2400;Full;4;
Vehiculo Liviano;FDFC-46;1;SU121003014;2014;8359802;Presencial;152798;0;0;152798;Total;24/03/2022;2022;STATION WAGON;JEEP;COMPASS LIMITED;GRAFITO METALICO;Aut;Benc;2400;Full;4;
Vehiculo Liviano;KKHP-36;K;CT079019218;2018;14418271;Presencial;171315;0;0;171315;1ra. Cuota;24/03/2022;2022;CAMIONETA;FORD;F150;AZUL RESPLAN;Aut;Benc;3500;Full;4;
Vehiculo Liviano;LCDJ-82;8;CT166006619;2019;14580260;Presencial;174555;0;0;174555;1ra. Cuota;24/03/2022;2022;CAMIONETA;MITSUBISHI;L200;NEGRO METALIZADO;Mec;Dies;2400;Full;4;
Vehiculo Liviano;PCKT-54;8;SD050033021;2021;9415805;Presencial;184479;0;0;184479;Total;24/03/2022;2022;AUTOMOVIL;CHEVROLET;ONIX;BLANCO;Mec;Benc;1000;NULL;4;
Carga;DCRK-87;8;NULL;2011;3;Presencial;171511;5320;9708;186539;Total;24/03/2022;2021;CAMION;INTERNATIONAL;7300;BLANCO;NULL;NULL;NULL;NULL;0;
Vehiculo Liviano;LFKY-56;1;SD111032919;2019;9592149;Presencial;189769;0;0;189769;Total;24/03/2022;2022;AUTOMOVIL;HYUNDAI;ELANTRA;BLANCO;Mec;Benc;1600;NULL;4;
Vehiculo Liviano;JVWP-72;9;CT166006218;2018;16772730;Presencial;218405;0;0;218405;1ra. Cuota;24/03/2022;2022;CAMIONETA;MITSUBISHI;L200;GRIS GRAFITO;Aut;Dies;2400;Full;4;
Vehiculo Liviano;HLFV-98;8;CT176032716;2016;10723686;Presencial;223715;0;0;223715;Total;24/03/2022;2022;CAMIONETA;NISSAN;NP300;ROJO;Mec;Dies;2300;Full;4;
Vehiculo Liviano;KRHT-22;8;SU176023219;2019;10756543;Presencial;224701;0;0;224701;Total;24/03/2022;2022;STATION WAGON;NISSAN;QASHQAI;AZUL CLARO METALICO;Mec;Benc;2000;Full;4;
Vehiculo Liviano;LWPZ-67;9;SU176023320;2020;11309114;Presencial;241278;0;0;241278;Total;24/03/2022;2022;STATION WAGON;NISSAN;KICKS;AZUL OSCURO PERLA;Aut;Benc;1600;Full;4;
Vehiculo Liviano;LSTZ-82;0;CT243002520;2020;17998856;Presencial;242927;0;0;242927;1ra. Cuota;24/03/2022;2022;CAMIONETA;VOLKSWAGEN;AMAROK;GRIS INDIO METALIZADO;Mec;Dies;2000;Full;4;
Vehiculo Liviano;PYZY-57;0;NULL;2021;11656000;Presencial;251684;0;0;251684;Total;24/03/2022;2022;STATION WAGON;MG;MG ZS 1.5ATCOM;ROJO;AUT;BENC;1500;FULL;4;
Carga;DCRK-87;8;NULL;2011;3;Presencial;202361;12228;39167;253756;Total;24/03/2022;2020;CAMION;INTERNATIONAL;7300;BLANCO;NULL;NULL;NULL;NULL;0;
Vehiculo Liviano;LWSG-96;3;CT176032420;2020;18914875;Presencial;261247;0;0;261247;1ra. Cuota;24/03/2022;2022;CAMIONETA;NISSAN;NP300;AZUL OSCURO METALICO;Mec;Dies;2300;Full;4;
Vehiculo Liviano;RBHR-18;0;SU111025321;2021;12106337;Presencial;265195;0;0;265195;Total;24/03/2022;2022;STATION WAGON;HYUNDAI;CRETA;BLANCO;Mec;Benc;1500;NULL;5;
Vehiculo Liviano;KYZC-68;7;CT166006919;2019;12204230;Presencial;268131;0;0;268131;Total;24/03/2022;2022;CAMIONETA;MITSUBISHI;L200;GRIS GRAFITO;Mec;Dies;2400;Full;4;
Vehiculo Liviano;RGXX-99;2;SU050017022;2022;12837350;Presencial;287125;0;0;287125;Total;24/03/2022;2022;STATION WAGON;CHEVROLET;GROOVE;ROJO BURDEO METALICO;Mec;Benc;1500;NULL;4;
Carga;DCRK-87;8;NULL;2011;3;Presencial;231440;15887;68454;315781;Total;24/03/2022;2019;CAMION;INTERNATIONAL;7300;BLANCO;NULL;NULL;NULL;NULL;0;
Vehiculo Liviano;KLGG-11;5;CT166006718;2018;14153672;Presencial;332046;0;0;332046;Total;24/03/2022;2022;CAMIONETA;MITSUBISHI;L200;NEGRO METALICO;Mec;Dies;2400;Full;4;
Vehiculo Liviano;RDGV-21;3;CT079017521;2021;22500166;Presencial;334762;0;0;334762;1ra. Cuota;24/03/2022;2022;CAMIONETA;FORD;RANGER;BLANCO;Mec;Dies;3200;Full;4;
Vehiculo Liviano;LYZL-34;0;CT111007020;2020;15162622;Presencial;372404;0;0;372404;Total;24/03/2022;2022;CAMIONETA;HYUNDAI;PORTER;BLANCO;Mec;Dies;2500;NULL;4;
Vehiculo Liviano;KGVD-27;0;SU225012418;2018;15167086;Presencial;372583;0;0;372583;Total;24/03/2022;2022;STATION WAGON;SSANGYONG;REXTON 2.2 MT 4X4 FULL;BLANCO;Mec;Dies;2200;NULL;4;
Vehiculo Liviano;HTZS-19;K;CT111007521;2021;15676563;Presencial;392962;0;0;392962;Total;24/03/2022;2022;CAMIONETA;HYUNDAI;HD 35 LIGHT;BLANCO;Mec;Dies;2500;NULL;2;
Vehiculo Liviano;RKCX-37;9;NULL;2022;27179746;Presencial;440052;0;0;440052;1ra. Cuota;24/03/2022;2022;CAMIONETA;TOYOTA;HILUX MMC 4X4 MT SR;ROJO METALICO;MEC;DIES;2400;FULL;0;
Vehiculo Liviano;PGFK-29;4;CT160012021;2021;17166665;Presencial;452566;0;0;452566;Total;24/03/2022;2022;CAMIONETA;MAZDA;BT50;AZUL OSCURO;Mec;Dies;2200;Full;4;
